user,location,tweet text,tweet date
jamie_mo,PA,RT @SharksSchatzi: Where are the stores that support @Instacart shoppers and will openly condemn mistreatment and pay cuts? Hmmm? Anyone? B…,11/11/2019 3:23
AntlerAustralia,"Sydney, New South Wales","RT @getupcover: Skye Theodorou, our CEO, unveiled upcover to 1000+ people 🚀🚀 at the Iconic Sydney Town Hall on @AntlerGlobal demo day! http…",11/11/2019 2:56
GusRazzetti,"Chicago, IL",The growth of the #gigeconomy is a global trend and this trend does not show signs of slowing.… https://t.co/CA02Be20pw,11/11/2019 2:42
gdprAI,"England, United Kingdom","RT @LewisGarrad: How is #AI, globalization, and the #gigeconomy shifted what employees expect from their organizations and what organizatio…",11/11/2019 2:00
LewisGarrad,Singapore,"How is #AI, globalization, and the #gigeconomy shifted what employees expect from their organizations and what orga… https://t.co/gsV86W8KQa",11/11/2019 2:00
GonnaCookThat,"Portland, OR","RT @teamcoworker: A grocery delivery worker said: ""Those large swings in weekly pay... can also make it difficult to secure an apartment or…",11/11/2019 1:46
teaandlovely,,"RT @mvollmer1: What can humans learn from nature about #teamwork? Honey bees 🐝 are working as perfect team 

MT @Seeker 

#FutureofWork #gi…",11/11/2019 1:31
June_r57,England,"RT @robabdul: Tories to drop pledge to cut student tuition fees from manifesto! 

If you're under 25 years old the Tory party has NOTHING b…",11/11/2019 1:30
cairoegypt120,,"RT @mvollmer1: What can humans learn from nature about #teamwork? Honey bees 🐝 are working as perfect team 

MT @Seeker 

#FutureofWork #gi…",11/11/2019 1:02
DSAssn,"Washington, D.C.","""With a growing population &amp; the trend toward more dynamic businesses, deploying a gig workforce option will often… https://t.co/qPMHUCRC5v",11/11/2019 1:01
coolgrey,Ohlone Land,RT @BruceMirken: So glad I never use @Uber and avoid #GigEconomy companies generally. https://t.co/rnKFZsPpBe,11/11/2019 0:55
BruceMirken,San Francisco,So glad I never use @Uber and avoid #GigEconomy companies generally. https://t.co/rnKFZsPpBe,11/11/2019 0:55
anish_sinha,Sydney,What a night! Super stoked with all the progress we've made at @getupcover in the past few months. Soft launching s… https://t.co/WaUOODpgQp,11/11/2019 0:27
PrestoVivace,"Washington, DC","RT @teamcoworker: ""As food delivery technology evolves and restaurants respond to the changes, it’s important to listen to the voices of th…",11/11/2019 0:12
teamcoworker,,"""As food delivery technology evolves and restaurants respond to the changes, it’s important to listen to the voices… https://t.co/7KH7DcNwD0",11/11/2019 0:00
BrianSettergren,"Minnesota, USA",Tips for tipping people in the #gigeconomy https://t.co/8Qa7RyE0bG,11/11/2019 0:00
GlobalAgendaKB,神戸市中央区,"RT @GlobalAgendaKB: @120 @wef ""Evidence from the UK’s national statistics suggests that the self-employed have lower weekly income than reg…",11/10/2019 23:56
getupcover,"Sydney, Australia","Skye Theodorou, our CEO, unveiled upcover to 1000+ people 🚀🚀 at the Iconic Sydney Town Hall on @AntlerGlobal demo d… https://t.co/de9pa4Wrcz",11/10/2019 23:47
GonnaCookThat,"Portland, OR","RT @IonahDance: Had a coupon to use @Instacart, but not gonna use it because they’re cutting pay to retaliate against workers’ striking ove…",11/10/2019 22:07
tnelsonwrites,"Lake Elmo, MN","New CFO sees ""huge untapped market"" for @FieldNation, which connects companies with #gigeconomy workers around the… https://t.co/EuHB79Ii4g",11/10/2019 21:46
jamesinparis,Paris,#ClimateEmergency #biodiversity #brexit #financialcrisis #EnvironmentalJustice #inequality #zerohourcontracts… https://t.co/m5yvaPBvdb,11/10/2019 21:36
boina92,Paris,RT @TrevorChurchley: The Hybrid Job Economy is coming! Your future career success depends out your ability to be adaptable &amp; flexible. #fut…,11/10/2019 21:31
TrevorChurchley,"Sydney, Australia",The Hybrid Job Economy is coming! Your future career success depends out your ability to be adaptable &amp; flexible.… https://t.co/YtioNJzVLC,11/10/2019 21:27
ltercation,The Antipodes,"RT @ltercation: Unregulated multinationals = unelected government

F*ck the #gigeconomy: 
https://t.co/sfu5xgAro2

https://t.co/DbG7LcEwe1…",11/10/2019 21:26
CXC_AUS,"Australia, The World",The Evolving Role Of #HR In A #GigEconomy via @Forbes #ContingentWorkforce https://t.co/zS3y2RgAXO,11/10/2019 21:24
Ultrapowermoves,The garbage,"RT @Redcup69: #okboomer #BabyBoomers #BoomerAdvice: did I do that? 
Yes, you pulled up every ladder you had.
#incomeinequality #studentdebt…",11/10/2019 21:22
___takenoshit,"Pennsylvania, USA","RT @IonahDance: Had a coupon to use @Instacart, but not gonna use it because they’re cutting pay to retaliate against workers’ striking ove…",11/10/2019 21:18
WordsByJohn2,"Rhode Island, USA",RT @benjaminkwalker: You got a gig!! WooHoo. Now what? How do you hold onto it? Check out the infographic and the link for your complete ho…,11/10/2019 21:09
MrHollisNelson,,"In today's society things change quickly. 

How can your company keep up and thrive? 

Read this article for… https://t.co/9dvqA4I21v",11/10/2019 21:08
IonahDance,unceded Onondaga Land,"Had a coupon to use @Instacart, but not gonna use it because they’re cutting pay to retaliate against workers’ stri… https://t.co/ci4brZ74gA",11/10/2019 21:01
___takenoshit,"Pennsylvania, USA","RT @teamcoworker: A grocery delivery worker said: ""Those large swings in weekly pay... can also make it difficult to secure an apartment or…",11/10/2019 20:42
