user,location,tweet text,tweet date
ianroughton,,"RT @PaulDDDaughters: TAKEN FROM UBER SITE !Modern slavery statement
Here at #Uber, we are committed to tackling issues of modern #slavery a…",2019-11-19 06:34:56
dylancook9688,,Achieving some truly high rankings in various search engines cannot be done without developing numerous high qualit… https://t.co/leFIi10JUl,2019-11-19 06:30:33
djt1940,,@merissahamilton @TheSoulCab @SamThePol @sarcasticcab @NewPhxBear @Sal_DiCiccio @RideSafeWorld @C_A_Lott… https://t.co/hqNVz139m0,2019-11-19 06:13:33
TheJoshHarmon,"Virginia, United States ",RT @iWorkerInnov: Some insightful information provided from @Smallbizlabs about the 2019 Freelancing in #America study. Take a look here: h…,2019-11-19 05:56:49
NorrieMary,,RT @TaxUnjust: The flexible #gigeconomy is growing &amp; @HMRCgovuk has outdated tax collection policies that can’t handle the flexible workfor…,2019-11-19 05:51:07
dammkring,Barcelona,RT @UFCW175633: Bring your own equipment and wait for work: Working for Uber is a lot like being a dock worker a century ago... #GigEconomy…,2019-11-19 05:43:34
sant_invisible,"Varanasi, India",RT @juanblanco76: Here are the top 11 tips for independent contractors to hold on to your valuable clients! #gigeconomy  https://t.co/0QLrY…,2019-11-19 05:06:37
juanblanco76,"Fort Collins, CO",Here are the top 11 tips for independent contractors to hold on to your valuable clients! #gigeconomy  https://t.co/0QLrYfGLaJ,2019-11-19 05:05:16
jackboutros1,"Sydney, New South Wales",RT @ThomasJCosta: Stop #WageTheft in the #GigEconomy https://t.co/aU6eNN5Nrz,2019-11-19 04:43:09
ConventusHK,Hong Kong,"RT @KorumLegal: Do you know what it takes to build a successful flexible career in NewLaw?

https://t.co/8ydIaIi7qs

#GigEconomy #Flexible…",2019-11-19 04:19:00
OpenAssembly1,"Boulder, CO",AI can help us find better solutions to problems we don’t yet know how to solve. #ai #futureofwork #freelancer… https://t.co/nMVIv6auXT,2019-11-19 03:59:03
djt1940,,@unionsnsw @TWUAus Also worth a read is this piece by @JimboStanford demonstrating that #gigeconomy is simply a rei… https://t.co/yXM65mTsgg,2019-11-19 03:56:19
AnthonyForsyt10,"Melbourne,  Australia",RT @ThomasJCosta: Stop #WageTheft in the #GigEconomy https://t.co/aU6eNN5Nrz,2019-11-19 03:47:42
