user,location,tweet text,tweet date
RockinFreelance,,"RT @WorkShopSac: Looking for #virtualwork? Check out these tips on getting into a #remotework job!

https://t.co/HJjyBSO3aQ

#remoteteam #v…",2019-12-02 23:36:46
Jeremy972i,,"RT @WorkShopSac: Looking for #virtualwork? Check out these tips on getting into a #remotework job!

https://t.co/HJjyBSO3aQ

#remoteteam #v…",2019-12-02 23:34:56
GetRemotify,,"RT @WorkShopSac: Looking for #virtualwork? Check out these tips on getting into a #remotework job!

https://t.co/HJjyBSO3aQ

#remoteteam #v…",2019-12-02 23:33:14
WorkShopDavis,"Davis, CA","RT @WorkShopSac: Looking for #virtualwork? Check out these tips on getting into a #remotework job!

https://t.co/HJjyBSO3aQ

#remoteteam #v…",2019-12-02 23:32:54
KAIPartners,"Sacramento, CA","RT @WorkShopSac: Looking for #virtualwork? Check out these tips on getting into a #remotework job!

https://t.co/HJjyBSO3aQ

#remoteteam #v…",2019-12-02 23:30:45
PaulDDDaughters,LONDON,"UBER FINAL DEADLINE: ROSEN, A HIGHLY RANKED LAW FIRM, Reminds #Uber Technologies, Inc. Investors of Important Decem… https://t.co/KbB4hCY62w",2019-12-02 23:29:38
forcemultsteve,Seattle area,@KJHopkinsDuvall @wef #Freelancers to become US workforce majority within decade with nearly 50% of millennial work… https://t.co/MknVS63OCl,2019-12-02 23:27:45
WorkShopSac,"Sacramento, CA","Looking for #virtualwork? Check out these tips on getting into a #remotework job!

https://t.co/HJjyBSO3aQ… https://t.co/crfdDuWbVd",2019-12-02 23:21:50
MaErickson91_Fa,Fargo,"@cocoa_nhoney DoorDash aren't paying the sales taxes. It might be faster than other food deliveries for now, but th… https://t.co/Fp9pWgFDi2",2019-12-02 23:21:28
DriversUniteUSA,"Staten Island, NY",RT @Yaseenaslam381: Not sure why they say you can’t organise uber drivers! Here’s another core group of uber drivers organising their next…,2019-12-02 23:20:57
CXCGlobal_USA,America's - Global,"In this latest eBook from CXC, we look at the most important, high-impact issues of focus – relating specifically t… https://t.co/BU5DdDcIe1",2019-12-02 23:15:07
Moonlighting,United States,"When building a small business or side hustle, there are a few key components to keep in mind. Here are 3 simple wa… https://t.co/RDYVxB0Fov",2019-12-02 23:15:03
silverrich39,"Liverpool, England","RT @fiftieswoman1: @silverrich39 Wishing you luck. He needs ousting. #ToryLies
#ToriesOut
#BackTo60
#WASPICampaign2018
#onevoice
#VoteLabou…",2019-12-02 23:05:16
RonSharpe15,"Marietta, GA",RT @Newsscopenet: Just Like California New Jersey kills the Gig Economy to protect Unions and media elites. #maga #KAG2020 #moms #workingmo…,2019-12-02 23:00:59
iaindavid3,,"RT @fiftieswoman1: @silverrich39 Wishing you luck. He needs ousting. #ToryLies
#ToriesOut
#BackTo60
#WASPICampaign2018
#onevoice
#VoteLabou…",2019-12-02 22:58:56
man__1972,"Lebanon, Kansas, USA",@CupomdoIfood Did you know that UberEats does not pay their sales tax? How are local companies expected to endure w… https://t.co/HM07kDacUx,2019-12-02 22:56:14
Pr33tish,"Toronto, Canada",RT @TribePlatform: The story of AppJobs - building the friendliest #marketplace for #gigeconomy with the #brandcommunity as a key enabler.…,2019-12-02 22:53:13
TribePlatform,"Toronto, Ontario",The story of AppJobs - building the friendliest #marketplace for #gigeconomy with the #brandcommunity as a key enab… https://t.co/OZhpcWjHrw,2019-12-02 22:52:32
CXCGlobal_CA,"Canada, Global",Top 5 HR Priorities for a Successful Future of Work - download our latest e-book here.  https://t.co/iBS6l8x3rZ… https://t.co/ceR9D5ji8H,2019-12-02 22:50:07
intentionn__233,,"@BBHAZEE I'm 99PAY TAXES, ASSHOLES sure that UberEats won't even get a fine for tax evasion, but I won't make an or… https://t.co/reeG6I65wj",2019-12-02 22:46:34
fiftieswoman1,,"@silverrich39 Wishing you luck. He needs ousting. #ToryLies
#ToriesOut
#BackTo60
#WASPICampaign2018
#onevoice… https://t.co/WNMPxgWFZ7",2019-12-02 22:39:28
JulioFDRezende,"Natal, Brasil","RT @markhillary: It’s Portuguese, but to summarise, 38 million Brazilians now work in the gig economy... flexible jobs are great, but are w…",2019-12-02 22:38:21
freedomregent,United States,RT @Newsscopenet: Just Like California New Jersey kills the Gig Economy to protect Unions and media elites. #maga #KAG2020 #moms #workingmo…,2019-12-02 22:36:40
ALICE94_FATHE,,@999sleepy UberEats is ripping off every citizen of our great country by not paying the sales tax. blacklist them f… https://t.co/2EM717wnCV,2019-12-02 22:36:18
markhillary,"São Paulo, Brasil","It’s Portuguese, but to summarise, 38 million Brazilians now work in the gig economy... flexible jobs are great, bu… https://t.co/r84bijYlpn",2019-12-02 22:36:05
Newsscopenet,,Just Like California New Jersey kills the Gig Economy to protect Unions and media elites. #maga #KAG2020 #moms… https://t.co/kXx0nEnkX5,2019-12-02 22:35:16
teamcoworker,,"""This change, while notable, doesn’t fix many Rev workers’ current complaints with the company."" 

#GigEconomy… https://t.co/puhvn05cU1",2019-12-02 22:30:20
robertpc21,,@Gaaaaabbbss Why do greedy companies like DoorDash think it is fine just to evade paying taxes? They make a little… https://t.co/9xblzv9shI,2019-12-02 22:27:21
Andrea1980Wood,West Valley City,"@jonhr13 After I found out that DoorDash has been dodging avoiding the sales tax, I stopped ordering from them. I'm… https://t.co/cRuc1mdboW",2019-12-02 22:26:32
gigmor,"Santa Monica, CA","A killer Brooklyn coffee shop is looking for INDIE, SINGER/SONGWRITER &amp; ALTERNATIVE artists. Apply @Gigmor:… https://t.co/sFEbvrFxoS",2019-12-02 22:13:55
VectorVMS,"Raleigh, NC USA","Take a look at the #gigeconomy then and now in this recent article.

https://t.co/99o0dl4whr?",2019-12-02 22:13:09
LSajbel,,"Well said, and a lot to think about here. There Is No Cure For Burnout, by Ella Dawson. #gigeconomy #adjunct… https://t.co/85YbuavHkU",2019-12-02 22:11:37
danielrolls2,,my take on the rise of ghost kitchens and how they will change the restaurant industry as we know it.… https://t.co/DI93BrQ1nJ,2019-12-02 22:09:53
CounterCorp,"Providence, RI",“#Arbitration is a way of keeping disputes out of court to — in theory — resolve them more quickly and at lower cos… https://t.co/N0767CJXCH,2019-12-02 22:05:55
paintsandsings,,@JoshButler @YaThinkN Go as an Uber eats driver or Amazon worker ...the oppressed are heroes because they still get… https://t.co/RvKb6FhfJ6,2019-12-02 22:05:40
rachelloumiller,"California, USA",Burnout and the #GigEconomy: What Employers Need to Know.  #futureofwork https://t.co/Gak0XsBFmM https://t.co/WDQgGSTa3G,2019-12-02 22:00:16
GigsDoneRight,Worldwide,RT @GigsDoneRight: What's your favorite #gigeconomy job? #saturdaythoughts,2019-12-02 21:59:56
sayidskmw4,,@Danaforfvcksake Boycott DoorDash for actively evading paying state sales taxes. These dickheads don't deserve our… https://t.co/B6b9lNGtQ0,2019-12-02 21:47:15
belek2b64ma,,@xo_llm DoorDash is robbing every citizen of our great country by not collecting the sales tax. boycott them for th… https://t.co/QNtKp1B344,2019-12-02 21:36:10
fmgesq,New York,"RT @ebglaw: Employment Law This Week® - Monthly Rundown 

Video: https://t.co/qYsDLni4Bz - 

#HR #humanresources #emplaw #employmentlaw #DO…",2019-12-02 21:31:38
Ingrid74WilsonM,Mobile,@Yallknowlexx Stop ordering from DoorDash for actively avoiding paying state sales taxes. These assholes don't dese… https://t.co/cD6OPRIDhg,2019-12-02 21:31:25
njxxllc,"Newark, NJ",RT eraser: EVIDENCE BASED BLOCKCHAIN. The Journal of The British Blockchain Association https://t.co/8h4Zvv6Z2K  Fu… https://t.co/MkDzGm72Qo,2019-12-02 21:22:10
greentechdon,New Jersey,RT @eraser: EVIDENCE BASED BLOCKCHAIN. The Journal of The British Blockchain Association https://t.co/zUELg7iQfZ  Full Text PDF of The JBBA…,2019-12-02 21:21:39
eraser,Sevilla,EVIDENCE BASED BLOCKCHAIN. The Journal of The British Blockchain Association https://t.co/zUELg7iQfZ  Full Text PDF… https://t.co/70wTgfvarb,2019-12-02 21:20:03
HertsHour,Hertfordshire,"RT @MCorinnaHartwig: @CommsBreakdown @copytrash @PippaBC @HertsHour I totally agree! Nice article too #hertshour
Don't forget that there ar…",2019-12-02 21:18:01
speck84_entrus,,@CupomIfood27 Why do greedy corporations like UberEats think it is fine just to evade paying taxes? They make a lit… https://t.co/iuuxjjVzBv,2019-12-02 21:11:57
MCorinnaHartwig,East Herts,"@CommsBreakdown @copytrash @PippaBC @HertsHour I totally agree! Nice article too #hertshour
Don't forget that there… https://t.co/tvt7gqJmkz",2019-12-02 21:09:32
Williams92_Terr,Des Moines,@TekkiNicole How low can DoorDash go?! First they fucking stole tips from their own employees and now they are not… https://t.co/Vkv9AAolOx,2019-12-02 21:01:38
Abrams981,New York,"Freelancing has reached a tipping point, contributing nearly $1 trillion to the US economy. #gigeconomy… https://t.co/MXH3irQvnT",2019-12-02 21:00:00
JohnnaGurgel,,"And I know It's been a minute, but read some of my older posts for great gift ideas, travel tips, and more:… https://t.co/Xmi5cDnMtk",2019-12-02 20:53:13
EUSKeraser,,"RT @eraser: George Gilder: Forget Cloud Computing, Blockchain is the #Future. “Uncommon Knowledge” Peter Robinson. Hoover Institution https…",2019-12-02 20:52:46
MARTIN_depots,,@mamathickie_ Dickheads at UberEats found a way to dodge collecting and paying sales taxes. Just to make themselves… https://t.co/dhM6Y3Gb4R,2019-12-02 20:51:32
serikgev1z,,@BreatheAndLeap All this time DoorDash has been fooling consumers and keeping driver tips. Now they are not collect… https://t.co/bNUc6IhrD8,2019-12-02 20:42:34
eraser,Sevilla,"Blockchain Technology and Decentralized Governance: Is the State Still Necessary?. Marcella Atzori, Ph. D.… https://t.co/DaKbXYASDk",2019-12-02 20:40:04
Erage__,southside Bethlehem ,RT @Wonolo: We've compiled a list of 50 of the best #gigeconomy jobs! https://t.co/8ezsrLmdNO,2019-12-02 20:38:22
PerkinsWe1990,Des Moines,@DaleConyay I fucking wish I could just not pay taxes like DoorDash. Damn... I'd be rich by now for sure. Bastards… https://t.co/5hBa6zvlwk,2019-12-02 20:36:32
carriagejone,Saint-Petersburg,@teyonaaaaaa It's time to boycott UberEats for their tax evasion. These greedy fucks are so They. messed up #gigeconomy 🤷‍♂️ 😤,2019-12-02 20:36:15
stacyhale9,"Concord, NC",All part of the new gig economy. Kinetic Business is doing its part to bring fiber-fast connections to our communit… https://t.co/CQmTR8tG4L,2019-12-02 20:32:55
TweetPKG,,RT @Concentrix: Join Concentrix VP @TweetPKG and a panel of experts in Seattle on December 4 at the @ExecsInTheKnow CX Gig Workforce Briefi…,2019-12-02 20:21:25
PSTAP_Tax,"Harrisburg, PA USA","Find new ways to attract #gigeconomy clients and grow your #accounting firm.
https://t.co/SYVfkPzLUy",2019-12-02 20:20:05
MIC_Center,"Philadelphia, PA",RT @errolsalamon: I’m excited to share my new @MinnPost article on different legislative solutions to protect freelance and gig economy wor…,2019-12-02 20:11:20
KibSolFuture,"Karachi, Sindh, Pakistan","RT @mvollmer1: What can humans learn from nature about #teamwork? Honey bees 🐝 are working as perfect team 

MT @Seeker 

#FutureofWork #gi…",2019-12-02 20:10:37
Cyberjaeger,"Winnipeg, Manitoba",RT @legal_1997post: @Cyberjaeger My family decided to blacklist UberEats because they are just so full of shit. Did you know that they got…,2019-12-02 20:09:57
legal_1997post,,@Cyberjaeger My family decided to blacklist UberEats because they are just so full of shit. Did you know that they… https://t.co/C6xWwijV9m,2019-12-02 20:07:42
dry_eyed__80,,@organiclemon @sotonDSN @drpatrickholmes UberEats found a new low. These guys have been found out for avoiding coll… https://t.co/ifmOozBfJk,2019-12-02 20:06:58
AzizMohammad,,"RT @FieldEngineer_: #Technology is Battlefield for #TopTalent     https://t.co/1Wl0SjinwB

#Techtoday #Techworld #GigEconomy #Freelancers #…",2019-12-02 20:05:05
FieldEngineer_,"New York, USA","#Technology is Battlefield for #TopTalent     https://t.co/1Wl0SjinwB

#Techtoday #Techworld #GigEconomy #Freelancers #OnDemand #TechGiants",2019-12-02 20:01:16
CXCGlobal_USA,America's - Global,"More than a third of Canadian workers (34 per cent) have already participated in the gig economy, according to Angu… https://t.co/S3wDi8FDHQ",2019-12-02 19:55:07
Jobbleapp,"Boston, MA",RT @GigRoundup: The freelance economy is showing no signs of slowing down. @ConnorGillivan via @@forbes | The @jobbleapp Gig Economy Roundu…,2019-12-02 19:49:42
GigRoundup,"Boston, MA",The freelance economy is showing no signs of slowing down. @ConnorGillivan via @@forbes | The @jobbleapp Gig Econom… https://t.co/vJyNot6n6J,2019-12-02 19:48:56
hitokirihoshi,Philippines,"6 down, 7 to go + 2 to hit #GodBless #freelancelife #gigeconomy #Sales #DigitalMarketing",2019-12-02 19:48:32
neBrown81_Ba,,@NewBorn_ELLE UberEats started off with robbing their employees. Now they have moved onto tax evasion. What a avoid… https://t.co/OZw6vOOXtj,2019-12-02 19:46:36
sayidskmw4,,@TheySaluteeME Why do greedy companies like DoorDash think it is fine just to dodge paying taxes? These greedy fuck… https://t.co/sY7gTsgELf,2019-12-02 19:46:12
CXCGlobal_CA,"Canada, Global","More than a third of Canadian workers (34 per cent) have already participated in the gig economy, according to Angu… https://t.co/ToYSypu9SJ",2019-12-02 19:45:09
GoldieChan,Los Angeles / Airplanes,I might have to write an in-depth article on #AB5 for #Forbes and how it (questionably) affects both hiring and bei… https://t.co/X8E3DB8LVn,2019-12-02 19:42:54
eraser,Sevilla,"George Gilder: Forget Cloud Computing, Blockchain is the #Future. “Uncommon Knowledge” Peter Robinson. Hoover Insti… https://t.co/e928S0NI5B",2019-12-02 19:40:04
wischau_conw,,@MrBanks1000 Did you know that UberEats does not pay their fucking taxes? How are local companies expected to endur… https://t.co/J4UFhUcxRD,2019-12-02 19:37:08
CXCGlobal_USA,America's - Global,"Click here to download a copy of our latest e-book, Top 5 HR Priorities for a Successful Future of Work!… https://t.co/z1FmxfeSUC",2019-12-02 19:29:08
Ingrid74WilsonM,Mobile,@chadhayesmd How low can DoorDash go?! First they stole tips from their own drivers and now these assholes are not… https://t.co/o1CDCGJOKL,2019-12-02 19:27:04
RecruitmentUKPR,"Sheffield, England","RT @agencycentral: The #GigEconomy is now stronger than ever thanks to the rise of companies such as Uber and Deliveroo. But, what are the…",2019-12-02 19:26:41
continuent85,,@SarahPSmart UberEats has been avoiding paying taxes. I'm fed up with greedy companies like them ripping us off. If… https://t.co/AjMR0N6Qly,2019-12-02 19:21:54
finished_88case,,@HomoHulk No wonder UberEats is making so much money. They are making tons off of us and avoiding collecting and pa… https://t.co/Cmw9pYrJbY,2019-12-02 19:06:54
Concentrix,"100,000+ Staff",Join Concentrix VP @TweetPKG and a panel of experts in Seattle on December 4 at the @ExecsInTheKnow CX Gig Workforc… https://t.co/Py4JDjAfJ5,2019-12-02 19:01:23
Jeremy972i,,RT @CXCGlobal_USA: We’ve uncovered the top 5 HR priorities for a successful #futureofwork and we’re making it available as a FREE e-book do…,2019-12-02 19:00:44
WEtechAlliance,"Windsor, Ontario, Canada","In Episode 3 of the #TechInTheCity Podcast, @YvonnePilon talks with @giografiik on what it means to hustle in the ""… https://t.co/c4qgNyiJyD",2019-12-02 18:58:36
ShiftPixy,,Join our co-founders Steve Holmes and Scott Absher as they help you find the path to profitability in restaurant de… https://t.co/eBZqheM5F0,2019-12-02 18:56:10
CXCGlobal_USA,America's - Global,We’ve uncovered the top 5 HR priorities for a successful #futureofwork and we’re making it available as a FREE e-bo… https://t.co/ufb83Dnhfl,2019-12-02 18:54:57
JaehnigJon,"Michigan, USA",RT @bitcoin_wrld: What’s #blockchain’s impact on the #gigeconomy? https://t.co/Phci4f5JDz,2019-12-02 18:46:18
Gaspard1999hum,,@CEsquenta UberEats has dodged paying MILLIONS in taxes using shitty loophole their lawyers found. Now these bastar… https://t.co/WRXm6dVd5L,2019-12-02 18:41:20
LewisPrashanna,,RT @advisory_cloud: Great new article on how AdvisoryCloud is at the forefront of the emerging gig economy #gigeconomy #Advisors #advisoryc…,2019-12-02 18:37:29
benjaminkwalker,"Denver, CO",Here are the top 11 tips for independent contractors to hold on to your valuable clients! #gigeconomy  https://t.co/zHuDuq34R2,2019-12-02 18:30:29
neBrown81_Ba,,@The_TylerJames UberEats is stealing from every citizen of our great country by not collecting and paying the sales… https://t.co/nfkPMrdliM,2019-12-02 18:21:31
RobJannone,"Atlanta, GA",Diverse and inclusive workplaces are more important than ever in today’s #GigEconomy. See why: #diversityatwork… https://t.co/Ty0nCji19S,2019-12-02 18:18:49
PerkinsWe1990,Des Moines,@Wii_TRIPPYmane DoorDash outdid themselves. They have been found out for dodging collecting and paying state sales… https://t.co/nqg2mcduaB,2019-12-02 18:11:29
alyuns5bl,,@slim_lay All this time DoorDash has been misleading consumers and stealing driver tips. Now they are not collectin… https://t.co/MhClW4MRz9,2019-12-02 18:01:04
PhonBaillie,,End the new year with skills and goals to make it the best yet! Save on my proofreading &amp; copyediting training cour… https://t.co/CGq8JJVWJA,2019-12-02 18:00:56
steph_swoon,United States,"RT @IWV: Last week, New Jersey slapped @Uber with a $650M tax bill. This is another strategy by revenue-hungry lawmakers and bitter labor u…",2019-12-02 17:58:27
PryorCashman,"New York, NY","With the advent of the new #hotel #gigeconomy, disrupters have begun to whittle away market share. In Today's Hotel… https://t.co/OmtzgDZ7Em",2019-12-02 17:55:06
Bob_Lyons,Detroit,#Illinois #Workplace Transparency Act that extends protections from #harassment to #independentcontractors. Takes e… https://t.co/J7SIEhaQ2d,2019-12-02 17:51:24
FlsaToday,"San Francisco, CA",RT @GeorgeWhipple3: New Episode of Employment Law This Week® -  #DOL #WHD #OFCCP #Enforcement #CSAL #VEVRAA #AI #IL #NJ #GigEconomy #Worker…,2019-12-02 17:49:31
FlsaToday,"San Francisco, CA","RT @ebglaw: Employment Law This Week® - Monthly Rundown 

Video: https://t.co/qYsDLni4Bz - 

#HR #humanresources #emplaw #employmentlaw #DO…",2019-12-02 17:48:50
Adasolutions89,,"RT @NUJ_LFB: ""The jobs on this list involve skilled services. These jobs actually make up 45% of the freelance market, so freelancing is no…",2019-12-02 17:45:44
eraser,Sevilla,The Education Blockchain. Chuck Russell. @cichuck  https://t.co/fb0tt5jIfv #blockchain #crypto #cryptocurrency… https://t.co/xZcVcT6xqa,2019-12-02 17:40:05
Williams92_Terr,Des Moines,@itschatavia_duh I'm going to stop ordering from DoorDash because these assholes are avoiding collecting and paying… https://t.co/Mz0UsUmotp,2019-12-02 17:31:59
ebglaw,Throughout the United States,"Employment Law This Week® - Monthly Rundown 

Video: https://t.co/qYsDLni4Bz - 

#HR #humanresources #emplaw… https://t.co/OX1v5iwOmt",2019-12-02 17:30:31
StBethea71_High,High Point,@dolllfacetoni DoorDash is robbing every citizen of our great country by not collecting the sales tax. blacklist th… https://t.co/zphmr7wylR,2019-12-02 17:26:56
GeorgeWhipple3,NEW YORK CITY,New Episode of Employment Law This Week® -  #DOL #WHD #OFCCP #Enforcement #CSAL #VEVRAA #AI #IL #NJ #GigEconomy… https://t.co/xnqfMzndtR,2019-12-02 17:26:44
AfonAur,London ¦ SE ¦ UK,Chancellor promises review of tax rule change suffocating the #self-employed #IR35 #gigeconomy via @telegraph https://t.co/quhohqznaB,2019-12-02 17:26:30
RHINE_extort,,@MEGA_QwuaN Stop ordering from UberEats for actively avoiding paying state sales taxes. These bastards don't deserv… https://t.co/pwQm2hsUfa,2019-12-02 17:21:09
freelancerclass,"Santa Rosa, CA","Did You Notice the Secret Upwork Just Gave you? | Freelancer Masterclass https://t.co/LRkkXlSxIx #freelance,… https://t.co/X5PElXP10o",2019-12-02 17:20:54
FlsaToday,"San Francisco, CA",RT @LazearMack: Gig economy companies made workers arbitrate disputes. Then didn’t pay fees to start cases. #gigeconomy #wageandhour #emplo…,2019-12-02 17:19:53
VWPickard,London,RT @errolsalamon: I’m excited to share my new @MinnPost article on different legislative solutions to protect freelance and gig economy wor…,2019-12-02 17:19:48
bcaramel_,,"RT @AmJohnson72_Eri: @bcaramel_ DoorDash aren't paying the sales taxes. It might be easier to use than other delivery services for now, but…",2019-12-02 17:18:33
Andrea1980Wood,West Valley City,@MyNameIsDari No wonder DoorDash is earning so much. They are making huge profits off of us and evading collecting… https://t.co/XFgazQ8dUB,2019-12-02 17:17:05
lilastories,"San Francisco, CA",How is gig work changing our work landscape? Read my paper summary (and then you can read the original paper too!)… https://t.co/z7eK3VrHAP,2019-12-02 17:17:00
AmJohnson72_Eri,Erie,"@bcaramel_ DoorDash aren't paying the sales taxes. It might be easier to use than other delivery services for now,… https://t.co/n8Fsa0MkfX",2019-12-02 17:16:56
IBAnews,London and worldwide,"GEI Annual Report - Discrimination and gender disparity, labour shortages and flexible working arrangements related… https://t.co/iNIferDTMA",2019-12-02 17:15:14
Estebantitos,www.aorta.coop,"RT @jwjnational: #Gigeconomy companies won't pay working people a decent wage, and apparently won't pay fees when they force workers to ent…",2019-12-02 17:09:20
bekdale,"Iowa City, IA",RT @errolsalamon: I’m excited to share my new @MinnPost article on different legislative solutions to protect freelance and gig economy wor…,2019-12-02 17:05:50
LazearMack,Oakland,Gig economy companies made workers arbitrate disputes. Then didn’t pay fees to start cases. #gigeconomy… https://t.co/WMrhIzh3zo,2019-12-02 17:05:06
errolsalamon,"Minneapolis, MN",I’m excited to share my new @MinnPost article on different legislative solutions to protect freelance and gig econo… https://t.co/3AIxhve86n,2019-12-02 17:03:52
Still29,San Diego via #SiliconValley,"RT @Smallbizlabs: American jobs are getting worse, new economic index shows: https://t.co/Hyk8vjGFDd &lt;- decline in good jobs key reason for…",2019-12-02 17:01:48
teamcoworker,,"""DoorDash was back in court because it was taking a truly low-cost approach: It hadn’t paid the arbitration fees fo… https://t.co/kriIG3yxBW",2019-12-02 17:00:41
bugles86encoun,,"@BeccaBrown1302 Beautiful, UberEats are charging us all these INSANE fees, pay their employees EXTREMELY low wages,… https://t.co/TrDPjtKndS",2019-12-02 16:57:01
evoke_nothing,,"@TomVeiga1 While other delivery services were updating their wage policies, UberEats was still underpaying their de… https://t.co/1QDoIzfxfB",2019-12-02 16:51:39
Lisa1975contra,,@laurenmccuaig It seems like companies like UberEats are just hell-bent on avoiding taxes and robbing their employe… https://t.co/Y6iO6AQRad,2019-12-02 16:51:24
MacleanPatricia,"Toronto, Ontario",#ContractPodAi co-founder and CEO Sarvarth Misra writes on how organizations need to be responsive with the rise of… https://t.co/MGZDRtmSf3,2019-12-02 16:46:18
AllWorkNow,"New York, NY","The Gig Economy is much more than just a growing segment, it’s a seismic shift in the economics of labor.
#AllWork… https://t.co/5UbyZDF7kr",2019-12-02 16:45:45
sbingcb,"Myrtle Beach, SC","RT @jwjnational: #Gigeconomy companies won't pay working people a decent wage, and apparently won't pay fees when they force workers to ent…",2019-12-02 16:45:40
Smallbizlabs,San Francisco,"American jobs are getting worse, new economic index shows: https://t.co/Hyk8vjGFDd &lt;- decline in good jobs key reas… https://t.co/2f6FEsIgZH",2019-12-02 16:44:44
MarketplaceRisk,"San Francisco, CA","Register for the Sharing Economy Global Summit in London, February 5-6. With 50+ sessions from 100+ speakers from s… https://t.co/lJqO19KFXd",2019-12-02 16:43:18
Madeleine_V_,NYC,"RT @jwjnational: #Gigeconomy companies won't pay working people a decent wage, and apparently won't pay fees when they force workers to ent…",2019-12-02 16:40:22
Bellaisi2,,@TimeToCook My coworkers and I decided to boycott UberEats because they are just so full of shit. Did you know that… https://t.co/8UiMnFuZ00,2019-12-02 16:36:31
courjackson_,,@baggssquarecafe UberEats found a new low. These guys have been found out for avoiding collecting and paying state… https://t.co/u3xdttA9VZ,2019-12-02 16:36:27
CommStratSF,"San Francisco, CA",.@usepared App Gives Restaurant Workers Flexibility to Choose Their Own Gigs | https://t.co/0tm7b14GWA via @cheddar #gigeconomy #restaurants,2019-12-02 16:35:04
gignowglobal,,"How can your business make the most of the evolving “Gig Economy”? 

Listen to #GrowthIgniters conversation with ex… https://t.co/0JjKbptnbt",2019-12-02 16:35:03
INAFLCIO,"Indianapolis, IN","RT @jwjnational: #Gigeconomy companies won't pay working people a decent wage, and apparently won't pay fees when they force workers to ent…",2019-12-02 16:32:44
